"Code","Description",""
"001","Supportive Services",""
"002","Operations",""
"003","Administration",""
"004","Coordination Activities",""
"005","Project Evaluation",""
"006","Project Monitoring",""
"007","CoC Application Activities",""
"008","Developing a CoC System",""
"009","HUD Compliance Activities",""
"010","Intake and Assessment",""
"011","Application Assistance",""
"012","Case Management Activities",""
"015","Community Presentations",""
"020","Eligibility Pre-Screening",""
"021","SNAP Disaster Outreach",""
"022","Client Documentation",""
"023","Training",""
"024","Other Program Responsibilities",""
"025","Customer Management",""
"026","Customer Communication",""
"027","Training and Technical Assistance",""
"028","Data Management and Reporting",""
"029","Community Needs Assessment",""
"030","Strategic Planning",""
"031","Other Program Support",""
"032","Surveys and related activities",""
"033","Grantsmanship/program planning",""
"034","Community Education",""
"035","Communication Activity",""
"036","Partnerships & Collaborations",""
"13","FMLA Sick",""
"14","FMLA Vacation",""
"ADM","Admin Adjustment",""
"BER","Bereavement",""
"C19","CoViD-19",""
"EPS","Eligibility Pre-Screening",""
"FSW","FMLA WC Sick",""
"FVW","FMLA WC Vac",""
"H","Hol",""
"Holiday","Holiday",""
"J","Jury",""
"N","Ed Leave",""
"O","Other hours",""
"Other","Other Hours",""
"PER","Personal",""
"SCA","Sick All",""
"SCC","Sick - CT PD SL",""
"V","Vacation",""
"V2","Vacation",""
